"Date","Time","Open","High","Low","Close","Volume","MACD","MACDAvg","MACDDiff","RSI","SlowK","SlowD","FastAvg","SlowAvg","DistF","DistS","FGS","FLS","OpenBar"
07/18/2014,16:00,1.3651,1.3684,1.3533,1.3568,729984,-0.001556,0.001480,-0.003036,43.12,16.51,21.21,1.3654,1.3657,0.0086,0.0089,0,1,0
07/25/2014,16:00,1.3571,1.3592,1.3462,1.3473,702670,-0.003052,0.000573,-0.003626,38.91,9.83,16.81,1.3627,1.3659,0.0154,0.0186,0,2,0
08/01/2014,16:00,1.3474,1.3487,1.3409,1.3470,795076,-0.004214,-0.000384,-0.003830,38.79,6.29,10.88,1.3608,1.3661,0.0138,0.0191,0,3,0
08/08/2014,16:00,1.3470,1.3475,1.3375,1.3453,895504,-0.005211,-0.001350,-0.003862,38.02,8.07,8.06,1.3585,1.3661,0.0132,0.0208,0,4,0
08/15/2014,16:00,1.3449,1.3457,1.3378,1.3440,724271,-0.006037,-0.002287,-0.003750,37.41,11.82,8.73,1.3560,1.3665,0.0120,0.0225,0,5,0
08/22/2014,16:00,1.3434,1.3440,1.3262,1.3283,779768,-0.007868,-0.003403,-0.004465,30.96,10.16,10.02,1.3531,1.3666,0.0248,0.0383,0,6,0
08/29/2014,16:00,1.3248,1.3262,1.3174,1.3175,840789,-0.010074,-0.004737,-0.005337,27.45,5.70,9.23,1.3485,1.3663,0.0310,0.0488,0,7,0
09/05/2014,16:00,1.3170,1.3201,1.2961,1.2999,882428,-0.013092,-0.006408,-0.006683,22.90,3.21,6.36,1.3416,1.3651,0.0417,0.0652,0,8,0
09/12/2014,16:00,1.2995,1.3018,1.2900,1.2987,850913,-0.015402,-0.008207,-0.007195,22.62,5.73,4.88,1.3350,1.3640,0.0363,0.0653,0,9,0
09/19/2014,16:00,1.3006,1.3035,1.2864,1.2873,1116167,-0.017947,-0.010155,-0.007792,20.14,5.34,4.76,1.3272,1.3626,0.0399,0.0753,0,10,0
09/26/2014,16:00,1.2863,1.2937,1.2712,1.2718,1076682,-0.020972,-0.012318,-0.008654,17.35,3.70,4.92,1.3187,1.3608,0.0469,0.0890,0,11,0
10/03/2014,16:00,1.2717,1.2751,1.2535,1.2544,1412704,-0.024491,-0.014753,-0.009738,14.87,0.77,3.27,1.3094,1.3585,0.0550,0.1041,0,12,0
10/10/2014,16:00,1.2549,1.2826,1.2543,1.2648,1446803,-0.026140,-0.017030,-0.009110,22.06,3.76,2.74,1.3012,1.3561,0.0364,0.0913,0,13,0
