"Date","Time","Open","High","Low","Close","Volume","MACD","MACDAvg","MACDDiff","RSI","SlowK","SlowD","FastAvg","SlowAvg","DistF","DistS","FGS","FLS","OpenBar"
08/13/2012,16:00,1.2374,1.2460,1.2347,1.2420,185556,-0.001420,-0.003354,0.001934,50.36,65.04,69.80,1.2405,1.2486,0.0015,0.0066,0,88,1
08/14/2012,16:00,1.2417,1.2472,1.2402,1.2417,182943,-0.001159,-0.002915,0.001756,50.16,65.89,66.03,1.2407,1.2483,0.0010,0.0066,0,89,1
08/15/2012,16:00,1.2404,1.2430,1.2349,1.2375,160227,-0.001277,-0.002587,0.001310,47.28,62.54,64.49,1.2412,1.2479,0.0037,0.0104,0,90,1
08/16/2012,16:00,1.2375,1.2459,1.2340,1.2448,221999,-0.000772,-0.002224,0.001452,52.40,62.37,63.60,1.2431,1.2475,0.0017,0.0027,0,91,1
08/17/2012,16:00,1.2441,1.2468,1.2374,1.2406,198739,-0.000703,-0.001920,0.001217,49.42,60.54,61.81,1.2425,1.2469,0.0019,0.0063,0,92,1
08/20/2012,16:00,1.2424,1.2454,1.2380,1.2433,183922,-0.000426,-0.001621,0.001196,51.33,66.77,63.23,1.2420,1.2466,0.0013,0.0033,0,93,1
08/21/2012,16:00,1.2431,1.2574,1.2431,1.2552,267939,0.000746,-0.001148,0.001894,58.74,74.59,67.30,1.2425,1.2465,0.0127,0.0087,0,94,1
08/22/2012,16:00,1.2555,1.2625,1.2516,1.2614,264389,0.002150,-0.000488,0.002638,61.98,87.21,76.19,1.2443,1.2466,0.0171,0.0148,0,95,1
08/23/2012,16:00,1.2613,1.2675,1.2609,1.2650,229424,0.003513,0.000312,0.003201,63.76,94.58,85.46,1.2469,1.2465,0.0181,0.0185,1,0,1
08/24/2012,16:00,1.2650,1.2656,1.2565,1.2603,229786,0.004165,0.001083,0.003083,59.82,89.87,90.55,1.2492,1.2463,0.0111,0.0140,2,0,1
08/27/2012,16:00,1.2594,1.2621,1.2574,1.2587,114497,0.004502,0.001766,0.002735,58.50,82.28,88.91,1.2509,1.2460,0.0078,0.0127,3,0,1
08/28/2012,16:00,1.2582,1.2662,1.2549,1.2647,208471,0.005192,0.002452,0.002741,61.91,81.99,84.71,1.2532,1.2460,0.0115,0.0187,4,0,1
08/29/2012,16:00,1.2650,1.2658,1.2603,1.2611,177805,0.005387,0.003039,0.002349,58.79,82.76,82.34,1.2555,1.2456,0.0056,0.0155,5,0,1
08/30/2012,16:00,1.2615,1.2648,1.2570,1.2591,183075,0.005319,0.003495,0.001824,57.06,82.93,82.56,1.2569,1.2453,0.0022,0.0138,6,0,1
08/31/2012,16:00,1.2591,1.2722,1.2578,1.2664,312652,0.005787,0.003953,0.001834,61.50,80.66,82.12,1.2595,1.2453,0.0069,0.0211,7,0,1
09/04/2012,16:00,1.2663,1.2712,1.2638,1.2656,268497,0.006024,0.004367,0.001657,60.76,81.07,81.55,1.2618,1.2453,0.0038,0.0203,8,0,1
09/05/2012,16:00,1.2650,1.2708,1.2585,1.2683,301738,0.006357,0.004765,0.001591,62.40,85.78,82.50,1.2631,1.2455,0.0052,0.0228,9,0,1
09/06/2012,16:00,1.2686,1.2736,1.2644,1.2730,324973,0.006920,0.005196,0.001724,65.14,90.14,85.66,1.2642,1.2458,0.0088,0.0272,10,0,1
09/07/2012,16:00,1.2716,1.2902,1.2709,1.2880,324900,0.008478,0.005853,0.002626,72.12,94.71,90.21,1.2665,1.2465,0.0215,0.0415,11,0,1
09/10/2012,16:00,1.2891,1.2894,1.2839,1.2853,33057,0.009388,0.006560,0.002828,69.42,94.32,93.06,1.2690,1.2472,0.0163,0.0381,12,0,1
09/11/2012,16:00,1.2844,1.2954,1.2842,1.2943,60069,0.010711,0.007390,0.003321,73.04,94.27,94.43,1.2726,1.2475,0.0217,0.0468,13,0,1
09/12/2012,16:00,1.2935,1.3019,1.2898,1.2976,118682,0.011889,0.008290,0.003599,74.24,92.53,93.71,1.2759,1.2481,0.0217,0.0495,14,0,1
09/13/2012,16:00,1.2980,1.3086,1.2909,1.3066,184183,0.013395,0.009311,0.004084,77.23,94.88,93.89,1.2804,1.2489,0.0262,0.0577,15,0,1
09/14/2012,16:00,1.3066,1.3250,1.3061,1.3199,329684,0.015482,0.010545,0.004937,80.77,93.33,93.58,1.2865,1.2503,0.0334,0.0696,16,0,1
09/17/2012,16:00,1.3206,1.3254,1.3164,1.3187,235533,0.016846,0.011805,0.005041,79.57,92.90,93.70,1.2917,1.2519,0.0270,0.0668,17,0,1
09/18/2012,16:00,1.3195,1.3201,1.3112,1.3119,227799,0.017180,0.012880,0.004300,72.94,87.89,91.37,1.2964,1.2534,0.0155,0.0585,18,0,1
09/19/2012,16:00,1.3127,1.3168,1.3075,1.3145,264759,0.017453,0.013795,0.003658,73.83,85.00,88.60,1.3010,1.2550,0.0135,0.0595,19,0,1
09/20/2012,16:00,1.3128,1.3141,1.3001,1.3052,277597,0.016726,0.014381,0.002345,65.47,78.18,83.69,1.3042,1.2564,0.0010,0.0488,20,0,1
09/21/2012,16:00,1.3048,1.3130,1.3037,1.3072,281069,0.016126,0.014730,0.001396,66.35,75.70,79.63,1.3061,1.2580,0.0011,0.0492,21,0,1
09/24/2012,16:00,1.3059,1.3062,1.2973,1.3018,210912,0.015041,0.014792,0.000249,61.76,69.22,74.37,1.3078,1.2594,0.0060,0.0424,22,0,1
09/25/2012,16:00,1.3015,1.3054,1.2969,1.3009,256749,0.013948,0.014623,-0.000676,61.00,65.97,70.29,1.3084,1.2607,0.0075,0.0402,23,0,1
09/26/2012,16:00,1.2985,1.2995,1.2917,1.2942,242644,0.012398,0.014178,-0.001780,55.54,56.52,63.90,1.3081,1.2618,0.0139,0.0324,24,0,1
09/27/2012,16:00,1.2955,1.3011,1.2910,1.2998,288116,0.011489,0.013640,-0.002151,58.85,48.22,56.90,1.3074,1.2631,0.0076,0.0367,25,0,1
09/28/2012,16:00,1.2995,1.3042,1.2920,1.2933,305925,0.010127,0.012938,-0.002810,53.83,35.20,46.65,1.3048,1.2642,0.0115,0.0291,26,0,1
10/01/2012,16:00,1.2929,1.3021,1.2884,1.2967,282079,0.009216,0.012193,-0.002977,55.95,27.82,37.08,1.3026,1.2656,0.0059,0.0311,27,0,1
10/02/2012,16:00,1.2968,1.3050,1.2961,1.2996,234486,0.008629,0.011480,-0.002852,57.73,24.83,29.28,1.3013,1.2672,0.0017,0.0324,28,0,1
10/03/2012,16:00,1.3000,1.3018,1.2959,1.2980,226853,0.007943,0.010773,-0.002830,56.38,26.22,26.29,1.2997,1.2689,0.0017,0.0291,29,0,1
10/04/2012,16:00,1.2989,1.3112,1.2988,1.3099,308299,0.008264,0.010271,-0.002007,63.27,38.11,29.72,1.3001,1.2706,0.0098,0.0393,30,0,1
10/05/2012,16:00,1.3096,1.3151,1.3073,1.3113,247356,0.008533,0.009924,-0.001390,63.99,51.09,38.47,1.3006,1.2720,0.0107,0.0393,31,0,1
10/08/2012,16:00,1.3104,1.3105,1.3016,1.3055,162322,0.008184,0.009576,-0.001392,58.84,63.34,50.84,1.3009,1.2733,0.0046,0.0322,32,0,1
10/09/2012,16:00,1.3049,1.3071,1.2935,1.2963,308267,0.007083,0.009077,-0.001994,51.72,55.18,56.54,1.3005,1.2746,0.0042,0.0217,33,0,1
10/10/2012,16:00,1.2963,1.2993,1.2915,1.2976,217687,0.006244,0.008511,-0.002267,52.59,41.81,53.44,1.3008,1.2757,0.0032,0.0219,34,0,1
10/11/2012,16:00,1.2937,1.3031,1.2904,1.3009,223709,0.005778,0.007964,-0.002186,54.83,36.95,44.65,1.3009,1.2771,0.0000,0.0238,35,0,1
10/12/2012,16:00,1.3010,1.3071,1.3001,1.3036,199900,0.005563,0.007484,-0.001921,56.63,46.07,41.61,1.3019,1.2786,0.0017,0.0250,36,0,1
10/15/2012,16:00,1.3034,1.3058,1.2969,1.3020,194490,0.005204,0.007028,-0.001824,55.22,51.56,44.86,1.3025,1.2798,0.0005,0.0222,37,0,1
10/16/2012,16:00,1.3029,1.3140,1.3021,1.3121,273330,0.005668,0.006756,-0.001088,61.68,65.54,54.39,1.3037,1.2810,0.0084,0.0311,38,0,1
10/17/2012,16:00,1.3169,1.3218,1.3161,1.3203,237578,0.006622,0.006729,-0.000107,65.97,79.72,65.61,1.3060,1.2824,0.0143,0.0379,39,0,1
10/18/2012,16:00,1.3192,1.3207,1.3133,1.3141,237217,0.006799,0.006743,0.000056,60.46,86.95,77.41,1.3064,1.2838,0.0077,0.0303,40,0,1
10/19/2012,16:00,1.3146,1.3155,1.3090,1.3101,217244,0.006541,0.006703,-0.000162,57.14,78.72,81.80,1.3063,1.2853,0.0038,0.0248,41,0,1
10/22/2012,16:00,1.3105,1.3161,1.3093,1.3123,205135,0.006440,0.006650,-0.000210,58.49,69.96,78.54,1.3069,1.2868,0.0054,0.0255,42,0,1
10/23/2012,16:00,1.3140,1.3153,1.3028,1.3050,245218,0.005705,0.006461,-0.000756,52.58,59.66,69.45,1.3078,1.2880,0.0028,0.0170,43,0,1
10/24/2012,16:00,1.3066,1.3074,1.2997,1.3051,228980,0.005072,0.006183,-0.001111,52.65,54.35,61.32,1.3086,1.2893,0.0035,0.0158,44,0,1
10/25/2012,16:00,1.3047,1.3100,1.3003,1.3026,226534,0.004319,0.005811,-0.001491,50.62,44.06,52.69,1.3087,1.2906,0.0061,0.0120,45,0,1
10/26/2012,16:00,1.3016,1.3033,1.2958,1.3010,261817,0.003552,0.005359,-0.001807,49.31,39.81,46.07,1.3085,1.2917,0.0075,0.0093,46,0,1
10/29/2012,16:00,1.3021,1.3021,1.2961,1.2981,121660,0.002680,0.004823,-0.002143,46.94,32.38,38.75,1.3081,1.2929,0.0100,0.0052,47,0,1
10/30/2012,16:00,1.2981,1.3061,1.2963,1.3040,120267,0.002436,0.004346,-0.001910,51.99,33.86,35.35,1.3073,1.2941,0.0033,0.0099,48,0,1
